duvi_year,admin_dong_code,sgg_nm,admin_dong_name,duvi_score,duvi_grade,duvi_grade_label,duvi_domain_count_used,duvi_variable_count_used
2022,11230640,강남구,역삼1동,55.4842,1,매우 높음,8,19
2022,11190540,영등포구,여의동,55.3204,1,매우 높음,7,18
2022,11140660,마포구,서교동,54.2879,1,매우 높음,8,19
2022,11220530,서초구,서초3동,48.765,1,매우 높음,7,15
2022,11010610,종로구,종로1·2·3·4가동,48.2378,1,매우 높음,9,21
2022,11140740,마포구,상암동,48.158,1,매우 높음,7,18
2022,11030730,용산구,한강로동,44.6594,1,매우 높음,7,18
2022,11230580,강남구,삼성1동,44.1688,1,매우 높음,6,14
2022,11230590,강남구,삼성2동,44.0427,1,매우 높음,7,18
2022,11180510,금천구,가산동,42.9726,1,매우 높음,8,19
2022,11020550,송파구,명동,42.9711,1,매우 높음,9,21
2022,11190740,영등포구,영등포동,42.906,1,매우 높음,7,18
2022,11170540,구로구,구로3동,41.993,1,매우 높음,6,14
2022,11160751,강서구,가양1동,41.8852,1,매우 높음,8,19
2022,11210800,관악구,청룡동,41.2604,1,매우 높음,7,18
2022,11020590,중구,광희동,40.9664,1,매우 높음,9,21
2022,11020540,중구,회현동,40.8865,1,매우 높음,9,21
2022,11230650,강남구,역삼2동,40.0102,1,매우 높음,7,15
2022,11250730,강동구,천호2동,39.9676,1,매우 높음,6,14
2022,11120710,은평구,진관동,39.2921,1,매우 높음,7,18
2022,11130750,서대문구,신촌동,39.0315,1,매우 높음,7,18
2022,11160740,강서구,우장산동,38.9835,1,매우 높음,7,18
2022,11240770,송파구,잠실6동,38.7605,1,매우 높음,8,19
2022,11170560,구로구,구로5동,37.8372,1,매우 높음,6,14
2022,11110560,노원구,공릉2동,37.7734,1,매우 높음,8,20
2022,11220520,서초구,서초2동,37.0956,1,매우 높음,7,18
2022,11250740,강동구,길동,36.7758,1,매우 높음,7,18
2022,11070730,중랑구,망우본동,36.728,1,매우 높음,7,18
2022,11080840,성북구,종암동,36.6824,1,매우 높음,8,20
2022,11150720,양천구,신정4동,36.5413,1,매우 높음,7,15
2022,11240650,송파구,가락본동,36.1839,1,매우 높음,7,18
2022,11220660,서초구,양재1동,35.867,1,매우 높음,8,19
2022,11160540,강서구,등촌3동,35.7212,1,매우 높음,6,14
2022,11010530,종로구,사직동,35.5537,1,매우 높음,9,21
2022,11170510,구로구,신도림동,35.4989,1,매우 높음,7,18
2022,11060810,동대문구,용신동,35.4807,1,매우 높음,7,18
2022,11190560,영등포구,당산2동,35.4096,1,매우 높음,7,18
2022,11090700,강북구,미아동,35.284,1,매우 높음,8,17
2022,11200680,동작구,대방동,35.2564,1,매우 높음,7,18
2022,11200630,동작구,사당1동,35.0999,1,매우 높음,7,18
2022,11210690,관악구,신림동,35.0834,1,매우 높음,7,18
2022,11090710,강북구,송중동,34.9687,1,매우 높음,8,20
2022,11230780,강남구,청담동,34.93,1,매우 높음,7,18
2022,11200720,동작구,노량진1동,34.9225,1,매우 높음,7,18
2022,11240690,송파구,문정2동,34.907,1,매우 높음,7,18
2022,11150660,양천구,신정3동,34.847,1,매우 높음,7,18
2022,11110660,노원구,상계2동,34.8457,1,매우 높음,8,19
2022,11180570,금천구,시흥1동,34.8288,1,매우 높음,6,14
2022,11240630,송파구,석촌동,34.7187,1,매우 높음,7,18
2022,11230760,강남구,세곡동,34.6724,1,매우 높음,7,18
2022,11100630,도봉구,창5동,34.3991,1,매우 높음,8,20
2022,11020520,중구,소공동,34.2569,1,매우 높음,9,21
2022,11240710,송파구,잠실본동,34.2357,1,매우 높음,8,19
2022,11080850,성북구,석관동,34.2247,1,매우 높음,8,20
2022,11240820,송파구,위례동,34.1201,1,매우 높음,6,14
2022,11050530,광진구,화양동,34.1104,1,매우 높음,8,19
2022,11240580,송파구,방이2동,34.1003,1,매우 높음,6,14
2022,11230770,강남구,압구정동,33.9823,1,매우 높음,8,19
2022,11110650,노원구,상계1동,33.7513,1,매우 높음,6,14
2022,11240600,송파구,오금동,33.6962,1,매우 높음,7,18
