admin_dong_code,sgg_nm,admin_dong_name,duvi_year,store_adm_code,store_시도명,store_자치구,store_행정동,store_연도,store_총 업소수,store_과학·기술 수,store_교육 수,store_보건의료 수,store_부동산 수,store_소매 수,store_수리·개인 수,store_숙박 수,store_시설관리·임대 수,store_예술·스포츠 수,store_음식 수,store_source_year,store_is_latest_substitute,population_adm_cd,population_adm_nm,population_year,population_population,population_pop_change_yoy,population_pop_change_base,population_pop_index,population_decline_level,population_source_year,population_is_latest_substitute,housing_type,housing_type_ko,housing_lawd_cd,housing_umd_nm,housing_year,housing_partial_year,housing_annual_total_rent_count,housing_annual_jeonse_count,housing_annual_trade_count,housing_annual_median_jeonse_deposit,housing_annual_avg_jeonse_deposit,housing_annual_median_trade_price,housing_annual_avg_trade_price,housing_jeonse_to_trade_ratio,housing_jeonse_ratio_level,housing_ratio_available,housing_rent_count_base,housing_jeonse_count_base,housing_jeonse_deposit_base,housing_trade_count_base,housing_trade_price_base,housing_rent_avg_building_age,housing_trade_avg_building_age,housing_combined_avg_building_age,housing_admin_match_source,housing_admin_match_address,housing_admin_match_lat,housing_admin_match_lon,housing_source_year,housing_is_latest_substitute,life_childcare_count,life_kindergarten_count,life_elementary_school_count,life_middle_school_count,life_high_school_count,life_school_count,life_education_facility_count,life_childcare_education_facility_count,life_hospital_count,life_emergency_medical_count,life_public_health_count,life_medical_facility_count,life_library_count,life_public_library_count,life_culture_facility_count,life_social_welfare_count,life_welfare_facility_count,life_elderly_welfare_count,life_child_welfare_count,life_disabled_welfare_count,life_mental_welfare_count,life_family_welfare_count,life_homeless_welfare_count,life_facility_count,life_safety_facility_included,life_safety_facility_note,life_childcare_education_score,life_medical_score,life_culture_score,life_welfare_score,life_childcare_education_ratio,life_medical_ratio,life_culture_ratio,life_welfare_ratio,life_facility_score,life_facility_grade,life_facility_grade_label,life_source_period,life_is_static_supplement,bus_stop_count,bus_row_count,bus_ride_count_sum,bus_alight_count_sum,bus_total_flow_count,bus_ride_minus_alight_sum,bus_alight_minus_ride_sum,bus_abs_imbalance_sum,bus_ride_ratio,bus_alight_ratio,bus_net_outflow_ratio,bus_net_flow_type,bus_observed_days_mean,bus_raw_row_count_sum,bus_ride_more_stop_count,bus_alight_more_stop_count,bus_balanced_stop_count,bus_data_start_date,bus_data_end_date,bus_data_year,bus_data_note,bus_source_period,bus_is_static_supplement,subway_station_count,subway_row_count,subway_ride_count_sum,subway_alight_count_sum,subway_total_flow_count,subway_net_inflow_sum,subway_abs_net_inflow_sum,subway_observed_days_mean,subway_net_inflow_station_count,subway_net_outflow_station_count,subway_balanced_station_count,subway_net_inflow_ratio,subway_data_start_date,subway_data_end_date,subway_data_year,subway_data_note,subway_source_period,subway_is_static_supplement,sdot_sensor_count,sdot_row_count,sdot_visitor_sum,sdot_visitor_daily_avg_mean,sdot_visitor_daily_avg_median,sdot_zscore_value_mean,sdot_zscore_value_max,sdot_observed_records_sum,sdot_observed_days_mean,sdot_visitor_min,sdot_visitor_max,sdot_data_start_date,sdot_data_end_date,sdot_data_year,sdot_data_note,sdot_source_period,sdot_is_static_supplement,energy_complex_count,energy_row_count,energy_observed_months_mean,energy_observed_months_median,energy_hheat_period_avg_mean,energy_hheat_period_avg_median,energy_hwaterHot_period_avg_mean,energy_hwaterHot_period_avg_median,energy_hgas_period_avg_mean,energy_hgas_period_avg_median,energy_helect_period_avg_mean,energy_helect_period_avg_median,energy_hwaterCool_period_avg_mean,energy_hwaterCool_period_avg_median,energy_heat_cost_period_avg_mean,energy_heat_cost_period_avg_median,energy_waterHot_cost_period_avg_mean,energy_waterHot_cost_period_avg_median,energy_gas_cost_period_avg_mean,energy_gas_cost_period_avg_median,energy_elect_cost_period_avg_mean,energy_elect_cost_period_avg_median,energy_waterCool_cost_period_avg_mean,energy_waterCool_cost_period_avg_median,energy_total_cost_period_avg_mean,energy_total_cost_period_avg_median,energy_data_start_month,energy_data_end_month,energy_data_year,energy_data_note,energy_source_period,energy_is_static_supplement,duvi_year_rule,living_유입_생활인구,living_순유입_생활인구,living_population_match_status,living_population_missing_reason,score__store_총 업소수,score__store_음식 수,score__store_소매 수,score__store_예술·스포츠 수,score__store_숙박 수,domain_score__상권,domain_variable_count__상권,score__population_population,score__population_pop_change_yoy,score__population_pop_change_base,score__population_pop_index,score__population_decline_level,domain_score__인구,domain_variable_count__인구,score__housing_annual_trade_count,score__housing_annual_total_rent_count,score__housing_jeonse_to_trade_ratio,score__housing_combined_avg_building_age,domain_score__주택시장_주거위험,domain_variable_count__주택시장_주거위험,score__life_facility_score,domain_score__생활시설,domain_variable_count__생활시설,score__bus_total_flow_count,domain_score__버스교통,domain_variable_count__버스교통,score__subway_total_flow_count,domain_score__지하철교통,domain_variable_count__지하철교통,score__sdot_visitor_daily_avg_mean,domain_score__SDOT유동,domain_variable_count__SDOT유동,score__energy_helect_period_avg_mean,score__energy_total_cost_period_avg_mean,domain_score__에너지,domain_variable_count__에너지,score__living_유입_생활인구,score__living_순유입_생활인구,domain_score__생활인구,domain_variable_count__생활인구,duvi_score,duvi_domain_count_used,duvi_variable_count_used,duvi_grade,duvi_grade_label
11230510,강남구,신사동,2022,11230510.0,서울특별시,강남구,신사동,2022.0,4300.0,970.0,364.0,383.0,135.0,854.0,362.0,22.0,112.0,101.0,997.0,2022,N,11230510.0,신사동,2022.0,14375,-2.14,-7.43,92.57,,2022,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,3,4,7,498,0,0,498,0,0,0,4,4,2,0,2,0,0,0,509,N,경찰·소방은 행정동 단위 자료 미확정으로 생활시설 통합지표에서 제외,14.32,99.77,28.52,29.11,1.38,97.84,0.0,0.79,42.93,4.0,부족,latest/static 생활시설,Y,2,2,65683,48235,113918,17448,-17448,17448,57.66,42.34,15.32,ride_more_than_alight,61.0,244,2,0,0,2026-03-01,2026-04-30,2026.0,"교통카드 버스 정류장별 승하차 집계, 2026-03-01~2026-04-30",2026-03-01~2026-04-30,Y,1,1,1616718,1696146,3312864,79428,79428,61.0,1,0,0,2.4,2026-03-01,2026-04-30,2026.0,서울 지하철 역별 승하차 순유입 자료를 행정동별로 집계,2026-03-01~2026-04-30,Y,1,1,72,2.0,2.0,-1.28,-1.28,5100,36.0,0.0,2.0,2026-04-11,2026-05-17,2026.0,서울 SDOT 방문자 센서 포인트 자료를 행정동별로 집계,2026-04-11~2026-05-17,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,2026-05,2026.0,공동주택 에너지 사용/비용 기간 평균 자료를 행정동별로 집계,2024-01~2026-05,Y,해당 연도 데이터가 있는 지표 중심 + 단년/최신 기반 고정지표는 보조지표,10236435.91,193543.1099999994,matched,,33.3621,36.7604,33.9577,27.8237,9.1667,28.2141,5,26.8028,74.7973,59.5492,59.5492,,55.1746,4,,,,,,0,38.0851,38.0851,1,0.4113,0.4113,1,17.7875,17.7875,1,0.0037,0.0037,1,,,,0,25.2781,56.5084,40.8933,2,25.7957,7,15,4,보통
11230511,강남구,개포3동,2022,11230511.0,서울특별시,강남구,개포3동,2022.0,374.0,52.0,36.0,28.0,41.0,82.0,28.0,0.0,14.0,14.0,79.0,2022,N,11230511.0,개포3동,2022.0,16424,-1.18,-2.29,97.71,,2022,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,1,1,0,2,4,10,27,0,0,27,1,1,1,8,8,2,0,4,0,1,0,46,N,경찰·소방은 행정동 단위 자료 미확정으로 생활시설 통합지표에서 제외,30.05,33.92,75.59,57.28,21.74,58.7,2.17,17.39,49.21,3.0,보통,latest/static 생활시설,Y,9,9,160566,146983,307549,13583,-13583,52335,52.21,47.79,4.42,ride_more_than_alight,60.11,1090,5,4,0,2026-03-01,2026-04-30,2026.0,"교통카드 버스 정류장별 승하차 집계, 2026-03-01~2026-04-30",2026-03-01~2026-04-30,Y,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2026-03-01,2026-04-30,2026.0,서울 지하철 역별 승하차 순유입 자료를 행정동별로 집계,2026-03-01~2026-04-30,Y,0,0,0,,,,,0,,,,2026-04-11,2026-05-17,2026.0,서울 SDOT 방문자 센서 포인트 자료를 행정동별로 집계,2026-04-11~2026-05-17,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,2026-05,2026.0,공동주택 에너지 사용/비용 기간 평균 자료를 행정동별로 집계,2024-01~2026-05,Y,해당 연도 데이터가 있는 지표 중심 + 단년/최신 기반 고정지표는 보조지표,3212640.3,-15118.970000000205,matched,,2.5796,2.8107,2.5244,3.8567,0.0,2.3543,5,30.6336,75.5679,62.9169,62.9169,,58.0088,4,,,,,,0,45.5083,45.5083,1,1.1104,1.1104,1,0.0,0.0,1,,,0,,,,0,6.7556,29.1451,17.9504,2,20.822,6,14,6,낮음
11230520,강남구,논현1동,2022,11230520.0,서울특별시,강남구,논현1동,2022.0,4916.0,1566.0,230.0,307.0,257.0,738.0,383.0,45.0,295.0,142.0,953.0,2022,N,11230520.0,논현1동,2022.0,20900,-2.47,-5.41,94.59,,2022,N,apartment,아파트,11680.0,논현동,2022.0,false,4219.0,1531.0,395.0,36781.25,40739.465,194500.0,268255.9775,59.985,보통,true,0.0,0.0,0.0,0.0,0.0,19.845,23.5275,21.685,법정동 대표주소 지오코딩 후 행정동 공간조인,서울특별시 강남구 논현동,37.50585935255259,127.02558222701114,2022.0,N,2,1,1,0,0,1,2,4,407,0,0,407,1,1,1,11,11,5,0,6,0,0,0,423,N,경찰·소방은 행정동 단위 자료 미확정으로 생활시설 통합지표에서 제외,3.87,99.06,75.59,75.82,0.95,96.22,0.24,2.6,63.59,2.0,풍부,latest/static 생활시설,Y,9,9,555890,380639,936529,175251,-175251,212551,59.36,40.64,18.71,ride_more_than_alight,61.0,3054,6,3,0,2026-03-01,2026-04-30,2026.0,"교통카드 버스 정류장별 승하차 집계, 2026-03-01~2026-04-30",2026-03-01~2026-04-30,Y,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2026-03-01,2026-04-30,2026.0,서울 지하철 역별 승하차 순유입 자료를 행정동별로 집계,2026-03-01~2026-04-30,Y,1,1,473478,13152.1667,13152.1667,0.34,0.34,2099,36.0,0.0,454.0,2026-04-11,2026-05-17,2026.0,서울 SDOT 방문자 센서 포인트 자료를 행정동별로 집계,2026-04-11~2026-05-17,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,2026-05,2026.0,공동주택 에너지 사용/비용 기간 평균 자료를 행정동별로 집계,2024-01~2026-05,Y,해당 연도 데이터가 있는 지표 중심 + 단년/최신 기반 고정지표는 보조지표,11365588.53,222229.25999999975,matched,,38.1919,35.1331,29.2345,39.1185,18.75,32.0856,5,39.002,74.5325,60.8727,60.8727,,58.82,4,10.2781,21.1586,58.7907,68.1807,39.6021,4,62.5059,62.5059,1,3.3814,3.3814,1,0.0,0.0,1,24.5996,24.5996,1,,,,0,28.2558,60.2702,44.263,2,33.1572,8,19,2,높음
11230530,강남구,논현2동,2022,11230530.0,서울특별시,강남구,논현2동,2022.0,5065.0,1798.0,244.0,176.0,234.0,661.0,339.0,31.0,284.0,117.0,1181.0,2022,N,11230530.0,논현2동,2022.0,19711,-2.64,-4.63,95.37,,2022,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,1,0,2,5,9,238,0,1,239,1,1,1,7,7,3,1,3,0,0,0,256,N,경찰·소방은 행정동 단위 자료 미확정으로 생활시설 통합지표에서 제외,25.0,98.59,75.59,51.29,3.52,93.36,0.39,2.73,62.62,2.0,풍부,latest/static 생활시설,Y,10,10,298024,320414,618438,-22390,22390,124612,48.19,51.81,-3.62,alight_more_than_ride,61.0,2426,3,7,0,2026-03-01,2026-04-30,2026.0,"교통카드 버스 정류장별 승하차 집계, 2026-03-01~2026-04-30",2026-03-01~2026-04-30,Y,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2026-03-01,2026-04-30,2026.0,서울 지하철 역별 승하차 순유입 자료를 행정동별로 집계,2026-03-01~2026-04-30,Y,0,0,0,,,,,0,,,,2026-04-11,2026-05-17,2026.0,서울 SDOT 방문자 센서 포인트 자료를 행정동별로 집계,2026-04-11~2026-05-17,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,2026-05,2026.0,공동주택 에너지 사용/비용 기간 평균 자료를 행정동별로 집계,2024-01~2026-05,Y,해당 연도 데이터가 있는 지표 중심 + 단년/최신 기반 고정지표는 보조지표,13343450.22,223189.52000000144,matched,,39.3602,43.5651,26.0993,32.2314,12.9167,30.8345,5,36.779,74.396,61.3837,61.3837,,58.4856,4,,,,,,0,61.3593,61.3593,1,2.2329,2.2329,1,0.0,0.0,1,,,0,,,,0,33.4717,60.3962,46.9339,2,33.3077,6,14,2,높음
11230580,강남구,삼성1동,2022,11230580.0,서울특별시,강남구,삼성1동,2022.0,3304.0,983.0,138.0,91.0,157.0,741.0,125.0,25.0,173.0,71.0,800.0,2022,N,11230580.0,삼성1동,2022.0,11730,-3.17,-7.62,92.38,,2022,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,3,4,8,112,0,0,112,0,0,0,3,3,3,0,0,0,0,0,123,N,경찰·소방은 행정동 단위 자료 미확정으로 생활시설 통합지표에서 제외,20.07,92.72,28.52,20.54,6.5,91.06,0.0,2.44,40.46,4.0,부족,latest/static 생활시설,Y,26,26,1171567,1104841,2276408,66726,-66726,539268,51.47,48.53,2.93,ride_more_than_alight,61.0,8575,14,12,0,2026-03-01,2026-04-30,2026.0,"교통카드 버스 정류장별 승하차 집계, 2026-03-01~2026-04-30",2026-03-01~2026-04-30,Y,3,3,8391244,8403345,16794589,12101,109711,61.0,1,2,0,0.07,2026-03-01,2026-04-30,2026.0,서울 지하철 역별 승하차 순유입 자료를 행정동별로 집계,2026-03-01~2026-04-30,Y,0,0,0,,,,,0,,,,2026-04-11,2026-05-17,2026.0,서울 SDOT 방문자 센서 포인트 자료를 행정동별로 집계,2026-04-11~2026-05-17,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,2026-05,2026.0,공동주택 에너지 사용/비용 기간 평균 자료를 행정동별로 집계,2024-01~2026-05,Y,해당 연도 데이터가 있는 지표 중심 + 단년/최신 기반 고정지표는 보조지표,17185416.13,267617.2099999972,matched,,25.5528,29.4749,29.3567,19.5592,10.4167,22.872,5,21.8576,73.9706,59.4248,59.4248,,53.6694,4,,,,,,0,35.1655,35.1655,1,8.2192,8.2192,1,90.1739,90.1739,1,,,0,,,,0,43.6034,66.2223,54.9128,2,44.1688,6,14,1,매우 높음
11230590,강남구,삼성2동,2022,11230590.0,서울특별시,강남구,삼성2동,2022.0,3407.0,1235.0,295.0,99.0,279.0,417.0,228.0,29.0,177.0,76.0,572.0,2022,N,11230590.0,삼성2동,2022.0,28899,2.49,2.44,102.44,,2022,N,apartment,아파트,11680.0,삼성동,2022.0,false,3411.0,1331.0,213.0,42825.625,47352.917499999996,249538.0,278181.7125,41.55,보통,true,0.0,0.0,0.0,0.0,0.0,20.905,23.765,22.335,법정동 대표주소 지오코딩 후 행정동 공간조인,서울특별시 강남구 삼성동,37.51273149603351,127.0512526633642,2022.0,N,12,0,1,1,0,2,2,14,122,0,0,122,1,1,1,1,1,1,0,0,0,0,0,138,N,경찰·소방은 행정동 단위 자료 미확정으로 생활시설 통합지표에서 제외,57.63,94.01,75.59,7.04,10.14,88.41,0.72,0.72,58.57,2.0,풍부,latest/static 생활시설,Y,15,15,284351,309974,594325,-25623,25623,266063,47.84,52.16,-4.31,alight_more_than_ride,61.0,4198,6,9,0,2026-03-01,2026-04-30,2026.0,"교통카드 버스 정류장별 승하차 집계, 2026-03-01~2026-04-30",2026-03-01~2026-04-30,Y,7,7,7773029,8290329,16063358,517300,517300,61.0,7,0,0,3.22,2026-03-01,2026-04-30,2026.0,서울 지하철 역별 승하차 순유입 자료를 행정동별로 집계,2026-03-01~2026-04-30,Y,0,0,0,,,,,0,,,,2026-04-11,2026-05-17,2026.0,서울 SDOT 방문자 센서 포인트 자료를 행정동별로 집계,2026-04-11~2026-05-17,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,2026-05,2026.0,공동주택 에너지 사용/비용 기간 평균 자료를 행정동별로 집계,2024-01~2026-05,Y,해당 연도 데이터가 있는 지표 중심 + 단년/최신 기반 고정지표는 보조지표,9811213.25,143499.95000000112,matched,,26.3604,21.0429,16.1645,20.9366,12.0833,19.3175,5,53.957,78.5135,66.0159,66.0159,,66.1256,4,5.457,17.0706,74.9734,65.8529,40.8385,4,56.5721,56.5721,1,2.1459,2.1459,1,86.2477,86.2477,1,,,0,,,,0,24.1568,49.9459,37.0514,2,44.0427,7,18,1,매우 높음
11230600,강남구,대치1동,2022,11230600.0,서울특별시,강남구,대치1동,2022.0,1011.0,31.0,375.0,95.0,89.0,152.0,73.0,1.0,8.0,42.0,145.0,2022,N,11230600.0,대치1동,2022.0,22301,-1.85,-5.19,94.81,,2022,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,2,2,5,7,12,127,0,0,127,0,0,0,1,1,0,0,1,0,0,0,140,N,경찰·소방은 행정동 단위 자료 미확정으로 생활시설 통합지표에서 제외,43.19,94.37,28.52,7.04,8.57,90.71,0.0,0.71,43.28,4.0,부족,latest/static 생활시설,Y,1,1,563,3412,3975,-2849,2849,2849,14.16,85.84,-71.67,alight_more_than_ride,61.0,120,0,1,0,2026-03-01,2026-04-30,2026.0,"교통카드 버스 정류장별 승하차 집계, 2026-03-01~2026-04-30",2026-03-01~2026-04-30,Y,2,2,936733,924423,1861156,-12310,15564,61.0,1,1,0,-0.66,2026-03-01,2026-04-30,2026.0,서울 지하철 역별 승하차 순유입 자료를 행정동별로 집계,2026-03-01~2026-04-30,Y,0,0,0,,,,,0,,,,2026-04-11,2026-05-17,2026.0,서울 SDOT 방문자 센서 포인트 자료를 행정동별로 집계,2026-04-11~2026-05-17,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,2026-05,2026.0,공동주택 에너지 사용/비용 기간 평균 자료를 행정동별로 집계,2024-01~2026-05,Y,해당 연도 데이터가 있는 지표 중심 + 단년/최신 기반 고정지표는 보조지표,8382075.75,17463.570000000298,matched,,7.5741,5.2515,5.3746,11.5702,0.4167,6.0374,5,41.6213,75.0301,61.0168,61.0168,,59.6713,4,,,,,,0,38.4988,38.4988,1,0.0144,0.0144,1,9.993,9.993,1,,,0,,,,0,20.388,33.4179,26.9029,2,23.5196,6,14,5,다소 낮음
11230630,강남구,대치4동,2022,11230630.0,서울특별시,강남구,대치4동,2022.0,3597.0,520.0,961.0,102.0,209.0,525.0,224.0,36.0,104.0,149.0,767.0,2022,N,11230630.0,대치4동,2022.0,18521,-2.77,-5.25,94.75,,2022,N,apartment,아파트,11680.0,대치동,2022.0,false,5879.0,2543.0,276.0,41784.375,48151.85249999999,251518.75,271157.6825,41.17,보통,true,0.0,0.0,0.0,0.0,0.0,24.5125,28.32,26.4125,법정동 대표주소 지오코딩 후 행정동 공간조인,서울특별시 강남구 대치동,37.50199087894465,127.05067179248084,2022.0,N,6,1,1,0,0,1,2,8,120,2,0,120,1,1,1,6,6,5,0,1,0,0,0,135,N,경찰·소방은 행정동 단위 자료 미확정으로 생활시설 통합지표에서 제외,20.07,93.66,75.59,44.6,5.93,88.89,0.74,4.44,58.48,2.0,풍부,latest/static 생활시설,Y,0,0,0,0,0,0,0,0,0.0,0.0,0.0,no_bus_stop_or_no_flow,0.0,0,0,0,0,2026-03-01,2026-04-30,2026.0,"교통카드 버스 정류장별 승하차 집계, 2026-03-01~2026-04-30",2026-03-01~2026-04-30,Y,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2026-03-01,2026-04-30,2026.0,서울 지하철 역별 승하차 순유입 자료를 행정동별로 집계,2026-03-01~2026-04-30,Y,2,2,735214,10211.3056,10211.3056,-0.0223,0.4771,10200,36.0,0.0,408.0,2026-04-11,2026-05-17,2026.0,서울 SDOT 방문자 센서 포인트 자료를 행정동별로 집계,2026-04-11~2026-05-17,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,2026-05,2026.0,공동주택 에너지 사용/비용 기간 평균 자료를 행정동별로 집계,2024-01~2026-05,Y,해당 연도 데이터가 있는 지표 중심 + 단년/최신 기반 고정지표는 보조지표,13216864.9,207808.12000000104,matched,,27.8501,28.2544,20.5619,41.0468,15.0,26.5426,5,34.5542,74.2917,60.9775,60.9775,,57.7002,4,7.1258,29.5573,75.3069,51.2504,40.8101,4,56.4657,56.4657,1,0.0,0.0,1,0.0,0.0,1,19.0991,19.0991,1,,,,0,33.1379,58.3791,45.7585,2,30.797,8,19,2,높음
11230640,강남구,역삼1동,2022,11230640.0,서울특별시,강남구,역삼1동,2022.0,12799.0,4498.0,854.0,467.0,866.0,1542.0,716.0,144.0,642.0,363.0,2707.0,2022,N,11230640.0,역삼1동,2022.0,33929,-1.84,-1.63,98.37,,2022,N,apartment,아파트,11680.0,역삼동,2022.0,false,7897.0,3327.0,1177.0,40050.0,42116.7775,239756.25,237293.5925,64.9575,매우높음,true,0.0,0.0,0.0,0.0,0.0,18.7725,20.3175,19.5425,법정동 대표주소 지오코딩 후 행정동 공간조인,서울특별시 강남구 역삼동,37.49080503155072,127.0342440122331,2022.0,N,11,1,1,0,0,1,2,13,630,1,0,630,2,2,2,8,8,4,0,4,0,0,0,653,N,경찰·소방은 행정동 단위 자료 미확정으로 생활시설 통합지표에서 제외,50.47,100.0,96.71,57.28,1.99,96.48,0.31,1.23,76.12,1.0,매우 풍부,latest/static 생활시설,Y,8,8,145526,155427,300953,-9901,9901,131609,48.36,51.64,-3.29,alight_more_than_ride,61.0,2149,5,3,0,2026-03-01,2026-04-30,2026.0,"교통카드 버스 정류장별 승하차 집계, 2026-03-01~2026-04-30",2026-03-01~2026-04-30,Y,2,2,4816595,5221619,10038214,405024,405024,61.0,2,0,0,4.03,2026-03-01,2026-04-30,2026.0,서울 지하철 역별 승하차 순유입 자료를 행정동별로 집계,2026-03-01~2026-04-30,Y,1,1,234703,6519.5278,6519.5278,-0.4771,-0.4771,5100,36.0,0.0,286.0,2026-04-11,2026-05-17,2026.0,서울 SDOT 방문자 센서 포인트 자료를 행정동별로 집계,2026-04-11~2026-05-17,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,2026-05,2026.0,공동주택 에너지 사용/비용 기간 평균 자료를 행정동별로 집계,2024-01~2026-05,Y,해당 연도 데이터가 있는 지표 중심 + 단년/최신 기반 고정지표는 보조지표,37395799.3,525193.3299999982,matched,,100.0,100.0,61.9707,100.0,60.0,84.3941,5,63.3612,75.0381,63.3493,63.3493,,66.2745,4,30.9934,39.7673,54.4258,75.8535,50.26,4,77.3168,77.3168,1,1.0866,1.0866,1,53.8974,53.8974,1,12.194,12.194,1,,,,0,96.9004,100.0,98.4502,2,55.4842,8,19,1,매우 높음
11230650,강남구,역삼2동,2022,11230650.0,서울특별시,강남구,역삼2동,2022.0,3584.0,1104.0,284.0,122.0,366.0,493.0,182.0,47.0,188.0,102.0,696.0,2022,N,11230650.0,역삼2동,2022.0,34977,2.61,1.04,101.04,,2022,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,1,2,1,4,5,17,156,0,0,156,0,0,0,8,8,6,2,0,0,0,0,181,N,경찰·소방은 행정동 단위 자료 미확정으로 생활시설 통합지표에서 제외,71.71,96.48,28.52,57.28,9.39,86.19,0.0,4.42,63.5,2.0,풍부,latest/static 생활시설,Y,10,10,196595,132943,329538,63652,-63652,116310,59.66,40.34,19.32,ride_more_than_alight,61.0,2800,6,4,0,2026-03-01,2026-04-30,2026.0,"교통카드 버스 정류장별 승하차 집계, 2026-03-01~2026-04-30",2026-03-01~2026-04-30,Y,1,1,4902215,4809355,9711570,-92860,92860,61.0,0,1,0,-0.96,2026-03-01,2026-04-30,2026.0,서울 지하철 역별 승하차 순유입 자료를 행정동별로 집계,2026-03-01~2026-04-30,Y,1,1,637027,17695.1944,17695.1944,0.8997,0.8997,2920,36.0,0.0,441.0,2026-04-11,2026-05-17,2026.0,서울 SDOT 방문자 센서 포인트 자료를 행정동별로 집계,2026-04-11~2026-05-17,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,2026-05,2026.0,공동주택 에너지 사용/비용 기간 평균 자료를 행정동별로 집계,2024-01~2026-05,Y,해당 연도 데이터가 있는 지표 중심 + 단년/최신 기반 고정지표는 보조지표,11851076.49,126801.55000000076,matched,,27.7482,25.6287,19.259,28.0992,19.5833,24.0637,5,65.3205,78.6098,65.0986,65.0986,,68.5319,4,,,,,,0,62.3995,62.3995,1,1.1898,1.1898,1,52.1436,52.1436,1,33.0969,33.0969,1,,,,0,29.5361,47.7561,38.6461,2,40.0102,7,15,1,매우 높음
